pub_id,year
pub.1078030959,2009
pub.1078030958,2009
pub.1078030957,2009
pub.1078030956,2009
pub.1078030955,2009
pub.1078030954,2009
pub.1078030953,2009
pub.1078030952,2009
pub.1062804433,2009
pub.1062804432,2009
pub.1062804429,2009
pub.1062804428,2009
pub.1062804426,2009
pub.1062804424,2009
pub.1062804423,2009
pub.1062804414,2009
pub.1062804413,2009
pub.1062804412,2009
pub.1062804411,2009
pub.1062804409,2009
pub.1062804406,2009
pub.1062804405,2009
pub.1062804403,2009
pub.1062804402,2009
pub.1062804400,2009
pub.1062804327,2009
pub.1062804326,2009
pub.1062804325,2009
pub.1062804324,2009
pub.1062804107,2009
pub.1062803788,2009
pub.1062803286,2009
pub.1052032895,2009
pub.1045745533,2009
pub.1042060084,2009
pub.1041810633,2009
pub.1033290972,2009
pub.1032694345,2009
pub.1030448983,2009
pub.1029559846,2009
pub.1026538564,2009
pub.1014818683,2009
pub.1012313598,2009
pub.1000321708,2009
pub.1000177031,2009
pub.1101685085,2009
pub.1101685084,2009
pub.1101685081,2009
pub.1101685066,2009
pub.1062804422,2009
pub.1062804420,2009
pub.1062804397,2009
pub.1062804390,2009
pub.1062804377,2009
pub.1062804360,2009
pub.1062804359,2009
pub.1062804323,2009
pub.1062804282,2009
pub.1062804213,2009
pub.1062804062,2009
pub.1062803996,2009
pub.1062803523,2009
pub.1048383271,2009
pub.1041032968,2009
pub.1032274804,2009
pub.1016765608,2009
pub.1008861051,2009
pub.1062804404,2009
pub.1062804398,2009
pub.1062804387,2009
pub.1062804264,2009
pub.1004525864,2009
pub.1031455860,2009
pub.1009239835,2009
pub.1003528940,2009
pub.1078030937,2009
pub.1078030936,2009
pub.1078030935,2009
pub.1078030930,2009
pub.1078030929,2009
pub.1078027761,2009
pub.1051738422,2009
pub.1048022432,2009
pub.1046292186,2009
pub.1043863112,2009
pub.1038928104,2009
pub.1036934750,2009
pub.1031904079,2009
pub.1031218065,2009
pub.1030340856,2009
pub.1021955950,2009
pub.1021612494,2009
pub.1012854748,2009
pub.1002695966,2009
pub.1062804394,2009
pub.1062804393,2009
pub.1062804386,2009
pub.1062804385,2009
pub.1062804383,2009
pub.1062804379,2009
pub.1062804375,2009
pub.1062804374,2009
pub.1062804364,2009
pub.1062804361,2009
pub.1062804311,2009
pub.1062804150,2009
pub.1052997194,2009
pub.1052869876,2009
pub.1051174308,2009
pub.1050987510,2009
pub.1048980962,2009
pub.1048903424,2009
pub.1047128830,2009
pub.1046891555,2009
pub.1046251996,2009
pub.1046205362,2009
pub.1041385961,2009
pub.1041082272,2009
pub.1040051436,2009
pub.1039041839,2009
pub.1034299427,2009
pub.1031349907,2009
pub.1031004817,2009
pub.1028571759,2009
pub.1028535453,2009
pub.1028428687,2009
pub.1027387700,2009
pub.1026478509,2009
pub.1026478140,2009
pub.1026415476,2009
pub.1025626623,2009
pub.1025241189,2009
pub.1024271047,2009
pub.1023965755,2009
pub.1023238919,2009
pub.1021432415,2009
pub.1017317167,2009
pub.1015762251,2009
pub.1015576420,2009
pub.1015026777,2009
pub.1014598910,2009
pub.1011986325,2009
pub.1011234698,2009
pub.1008858005,2009
pub.1007363888,2009
pub.1005330704,2009
pub.1004122627,2009
pub.1003031693,2009
pub.1002533751,2009
pub.1062804395,2009
pub.1062804391,2009
pub.1062804389,2009
pub.1062804378,2009
pub.1062804376,2009
pub.1062804373,2009
pub.1062804370,2009
pub.1062804369,2009
pub.1062804343,2009
pub.1062803879,2009
pub.1062803794,2009
pub.1049983285,2009
pub.1045591414,2009
pub.1044176804,2009
pub.1042249434,2009
pub.1035070425,2009
pub.1031993804,2009
pub.1018244976,2009
pub.1005524316,2009
pub.1004883573,2009
pub.1004251723,2009
pub.1062804367,2009
pub.1062804362,2009
pub.1062804355,2009
pub.1062804354,2009
pub.1062804331,2009
pub.1062804301,2009
pub.1062804300,2009
pub.1062804281,2009
pub.1020229027,2009
pub.1002290782,2009
pub.1049961722,2009
pub.1033557360,2009
pub.1025455942,2009
pub.1062804340,2009
pub.1062804322,2009
pub.1062804319,2009
pub.1062804318,2009
pub.1062804314,2009
pub.1062804306,2009
pub.1062804305,2009
pub.1062804304,2009
pub.1062804299,2009
pub.1078030895,2009
pub.1078030894,2009
pub.1078030893,2009
pub.1078030892,2009
pub.1078030891,2009
pub.1078030890,2009
pub.1065269815,2009
pub.1062804339,2009
pub.1062804338,2009
pub.1062804332,2009
pub.1062804307,2009
pub.1062804081,2009
pub.1057572730,2009
pub.1051128882,2009
pub.1050986835,2009
pub.1049276787,2009
pub.1048044384,2009
pub.1046114530,2009
pub.1044053137,2009
pub.1021916746,2009
pub.1005515831,2009
pub.1003931934,2009
pub.1001817866,2009
pub.1113912679,2009
pub.1113912677,2009
pub.1113912668,2009
pub.1101685080,2009
pub.1062804317,2009
pub.1062804310,2009
pub.1062804309,2009
pub.1062804308,2009
pub.1062804296,2009
pub.1062804283,2009
pub.1062804278,2009
pub.1062804259,2009
pub.1062804247,2009
pub.1062804240,2009
pub.1062804209,2009
pub.1062804186,2009
pub.1062804184,2009
pub.1062804180,2009
pub.1062804168,2009
pub.1062804166,2009
pub.1062804165,2009
pub.1062804023,2009
pub.1053280279,2009
pub.1052822082,2009
pub.1051718569,2009
pub.1049035196,2009
pub.1048877817,2009
pub.1046504851,2009
pub.1045449841,2009
pub.1043639342,2009
pub.1041392453,2009
pub.1041097260,2009
pub.1038989956,2009
pub.1037015412,2009
pub.1036912223,2009
pub.1036086617,2009
pub.1035484437,2009
pub.1034345027,2009
pub.1034176139,2009
pub.1033709475,2009
pub.1030906963,2009
pub.1029164821,2009
pub.1028781571,2009
pub.1028383245,2009
pub.1027766090,2009
pub.1025673087,2009
pub.1025207235,2009
pub.1024441969,2009
pub.1024265951,2009
pub.1023671136,2009
pub.1021892984,2009
pub.1018049210,2009
pub.1017861859,2009
pub.1017748131,2009
pub.1016895026,2009
pub.1015066539,2009
pub.1015065901,2009
pub.1014460909,2009
pub.1009528845,2009
pub.1008120445,2009
pub.1006871802,2009
pub.1005969348,2009
pub.1005775023,2009
pub.1004208195,2009
pub.1002672581,2009
pub.1002559156,2009
pub.1001733264,2009
pub.1001605323,2009
pub.1001458309,2009
pub.1000514910,2009
pub.1000363057,2009
pub.1062804298,2009
pub.1062804297,2009
pub.1062804294,2009
pub.1062804289,2009
pub.1062804274,2009
pub.1062804215,2009
pub.1062804174,2009
pub.1062804170,2009
pub.1062803995,2009
pub.1054122457,2009
pub.1053052387,2009
pub.1052951106,2009
pub.1051711229,2009
pub.1051471316,2009
pub.1049454179,2009
pub.1048665307,2009
pub.1045666602,2009
pub.1044037167,2009
pub.1022064423,2009
pub.1002073680,2009
pub.1062804293,2009
pub.1062804292,2009
pub.1062804290,2009
pub.1062804262,2009
pub.1062804214,2009
pub.1062804177,2009
pub.1062804142,2009
pub.1062803979,2009
pub.1062803973,2009
pub.1062803951,2009
